Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
The Loved Ones,2009,98,99694,Sean Byrne," After a classmate (Xavier Samuel) declines her invitation to the school dance, a teenager (Robin McLeavy) kidnaps him and makes...","Xavier Samuel, Robin McLeavy, Jessica McNamee, Victoria Thaine","Successfully mixing the conventions of the teen and horror genres with a twist, Australian director Sean Byrne makes a striking directorial debut with"
Evil Dead 2,1987,95,99871,Sam Raimi," The second of three films in the Evil Dead series is part horror, part comedy, with Ash Williams (Bruce Campbell)...","Bruce Campbell, Sarah Berry, Dan Hicks, Denise Bixler",No consensus yet.
Raw,2016,92,106413,Julia Ducournau," Stringent vegetarian Justine (Garance Marillier) encounters a decadent, merciless and dangerously seductive world during her first week at veterinary school....","Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Laurent Lucas",No consensus yet.
The Evil Dead,1981,95,100118,Sam Raimi," Ashley ""Ash"" Williams (Bruce Campbell), his girlfriend and three pals hike into the woods to a cabin for a fun...","Bruce Campbell, Ellen Sandweiss, Betsy Baker, Hal Delrich",No consensus yet.
La llorona,2019,96,100905,Jayro Bustamante," Alma is murdered with her children during a military attack in Guatemala, but when the general who ordered the genocide...","MarÃ­a Mercedes Coroy, Sabrina De La Hoz, Margarita KÃ©nefic, Julio Diaz",No consensus yet.
Nosferatu,1979,95,100046,Werner Herzog," Jonathan Harker is sent away to Count Dracula's castle to sell him a house in Virna, where he lives. But...","Klaus Kinski, Isabelle Adjani, Bruno Ganz, Roland Topor",Stunning visuals from Werner Herzog and an intense portrayal of the famed bloodsucker from Klaus Kinski make this remake of
Creep 2,2017,100,101013,Patrick Brice, A video artist quickly realizes she has made a mistake when she meets a serial killer in a cabin....,"Mark Duplass, Karan Soni, Patrick Brice, Desiree Akhavan",
Green Room,2015,90,105000,Jeremy Saulnier," Members (Anton Yelchin, Alia Shawkat) of a punk-rock band and a tough young woman (Imogen Poots) battle murderous white supremacists...","Anton Yelchin, Imogen Poots, Alia Shawkat, Joe Cole",
Carrie,1976,93,98566,Brian De Palma," In this chilling adaptation of Stephen King's horror novel, withdrawn and sensitive teen Carrie White (Sissy Spacek) faces taunting from...","Sissy Spacek, Piper Laurie, William Katt, Amy Irving",No consensus yet.
Midsommar,2019,83,107733,Ari Aster," A young American couple, their relationship foundering, travel to a fabled Swedish midsummer festival where a seemingly pastoral paradise transforms...","Florence Pugh, Jack Reynor, William Jackson Harper, Will Poulter","Ambitious, impressively crafted, and above all unsettling,"
The Fly,1958,95,100801,Kurt Neumann," When scientist Andre Delambre (Al Hedison) tests his matter transporter on himself, an errant housefly makes its way into the...","Al Hedison, Patricia Owens, Vincent Price, Herbert Marshall","Deliciouly funny to some and eerily presicient to others,"
House of Wax,1953,95,99328,Andre de Toth," Wax sculptor Henry (Vincent Price) is horrified to learn that his business partner, Matthew (Roy Roberts), plans on torching their...","Vincent Price, Frank Lovejoy, Phyllis Kirk, Carolyn Jones",No consensus yet.
Drag Me to Hell,2009,92,102005,Sam Raimi, Christine Brown (Alison Lohman) has a loving boyfriend (Justin Long) and a great job at a Los Angeles bank. But...,"Alison Lohman, Justin Long, Lorna Raver, Dileep Rao",Sam Raimi returns to top form with
A Girl Walks Home Alone at Night,2014,96,101017,Ana Lily Amirpour, Residents of a worn-down Iranian city encounter a skateboarding vampire (Sheila Vand) who preys on men who disrespect women....,"Sheila Vand, Arash Marandi, Marshall Manesh, Mozhan MarnÃ²",No consensus yet.
His House,2020,100,107715,Remi Weekes," A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new...","Wunmi Mosaku, Sope Dirisu, Matt Smith, Cornell John","Featuring genuine scares through every corridor,"
Ready or Not,2019,88,107267,Matt Bettinelli-Olpin, Grace couldn't be happier after she marries the man of her dreams at his family's luxurious estate. There's just one...,"Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny",No consensus yet.
Tigers Are Not Afraid,2017,97,103386,Issa LÃ³pez," When a girl's mother disappears leaving her on her own, she goings a gang of street children, leading to a...","Paola Lara, Ianis Guerrero, Rodrigo CortÃ©s, Hanssel Casillas",
Mandy,2018,90,104709,Panos Cosmatos," In the Pacific Northwest in 1983, outsiders Red Miller and Mandy Bloom lead a loving and peaceful existence. When their...","Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy",
It,2017,86,114882,Andy Muschietti," Seven young outcasts in Derry, Maine, are about to face their worst nightmare -- an ancient, shape-shifting evil that emerges...","Jaeden Lieberher, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard",No consensus yet.
Don't Look Now,1973,95,101194,Nicolas Roeg," Still grieving over the accidental death of their daughter, Christine (Sharon Williams), John (Donald Sutherland) and Laura Baxter (Julie Christie)...","Julie Christie, Donald Sutherland, Hilary Mason, Clelia Matania",No consensus yet.
Cat People,1942,91,100575,Jacques Tourneur," Irena Dubrovna (Simone Simon), a New York City--based fashion designer who hails from Serbia, begins a romance with marine engineer...","Simone Simon, Kent Smith, Tom Conway, Jane Randolph","Influential noir director Jacques Tourneau infused this sexy, moody horror film with some sly commentary about the psychology and the taboos of desire."
The Birds,1963,95,101398,Alfred Hitchcock, Melanie Daniels (Tippi Hedren) meets Mitch Brenner (Rod Taylor) in a San Francisco pet store and decides to follow him...,"Rod Taylor, Tippi Hedren, Suzanne Pleshette, Jessica Tandy","Proving once again that build-up is the key to suspense, Alfred Hitchcock successfully turned birds into some of the most terrifying villains in horror history."
The Wailing,2016,99,102508,Na Hong-jin, Suspicion leads to hysteria when rural villagers link a series of brutal murders to the arrival of a mysterious stranger...,"Kwak Do-won, Kunimura Jun, Hwang Jung-min, Chun Woo-hee",
Dead of Night,1945,93,99793,Cavalcanti," Architect Walter Craig (Mervyn Johns) goes to Pilgrim's Farm to see a potential client. When he arrives at the house,...","Mervyn Johns, Michael Redgrave, Roland Culver, Mary Merrall","With four accomplished directors contributing,"
Under the Shadow,2016,99,104198,Babak Anvari," After Shideh's building is hit by a missile during the Iran-Iraq War, a superstitious neighbor suggests that the missile was...","Narges Rashidi, Avin Manshadi, Bobby Naderi, Ray Haratian",No consensus yet.
Host,2020,100,105692,Rob Savage, Six friends accidentally invite the attention of a demonic presence during an online sÃ©ance and begin noticing strange occurrences in...,"Haley Bishop, Jemma Moore, Emma Louise Webb, Radina Drandova","Lean, suspenseful, and scary,"
10 Cloverfield Lane,2016,90,109721,Dan Trachtenberg," After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two...","John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin","Smart, solidly crafted, and palpably tense,"
