Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
The Alpinist,2021,93,93623,Peter Mortimer," Marc-AndrÃ© Leclerc climbs alone, far from the limelight. On remote alpine faces, the free-spirited 23-year-old Canadian makes some of the...","Marc-AndrÃ© Leclerc, Brette Harrington, Alex Honnold, Reinhold Messner",No consensus yet.
Pray Away,2020,93,93639,Kristine Stolakis," Five evangelicals in the 1970s break away and form Exodus International, a group that claims that gay people can become...",,No consensus yet.
Spring Blossom,2020,93,94703,Suzanne Lindon," Suzanne (Suzanne Lindon) is sixteen. She is bored with people her own age. From the outside, everything appears lovely in...","Suzanne Lindon, Arnaud Valois, FrÃ©dÃ©ric Pierrot, Florence Viala",No consensus yet.
Martyrs Lane,2021,93,94748,Ruth Platt," In this unsettling ghost story, Leah, 10, lives in a large, old house with her family but can't quite work...","Kiera Thompson, Denise Gough, Sienna Sayer, Steven Cree","Well-acted by its young leads,"
Lily Topples The World,2021,93,94884,Jeremy Workman, LILY TOPPLES THE WORLD follows 20-year-old sensation Lily Hevesh -- the world's most acclaimed domino toppler and the only girl...,Lily Hevesh,"A layered look at fame in the digital era,"
V/H/S/94,2021,93,94435,Chloe Okuno," A Shudder Original Film, V/H/S/94 is the fourth installment in the hit horror anthology franchise and marks the return of...","Anna Hopkins, Christian Lloyd, Kyal Legend, Budi Ross",
"All Light, Everywhere",2021,93,94435,Theo Anthony," ALL LIGHT, EVERYWHERE is an exploration of the shared histories of cameras, weapons, policing and justice. As surveillance technologies become...",Keaver Brenai,No consensus yet.
Lucky,2020,93,95246,Natasha Kermani, A self-help book author finds herself stalked by a threatening figure who returns to her house night after night. She...,Hunter Smith,"A rich blend of thrilling horror and sharp social commentary,"
Swan Song,2021,93,95338,Todd Stephens," Legendary actor Udo Kier stars as retired hairdresser Pat Pitsenbarger, who escapes the confines of his small-town Sandusky, Ohio nursing...","Udo Kier, Jennifer Coolidge, Linda Evans, Michael Urie",No consensus yet.
Some Kind of Heaven,2020,93,96266,Lance Oppenheim," With Some Kind of Heaven, first-time feature director Lance Oppenheim cracks the manicured facade of The Villages, Americaâs largest retirement...",,
The Killing of Two Lovers,2020,93,97143,Robert Machoian," The Killing of Two Lovers follows David, who desperately tries to keep his family of six together during a separation...","Clayne Crawford, Sepideh Moafi, Chris Coy, Avery Pizzuto",
Val,2021,93,99294,Ting Poo," For over 40 years Val Kilmer, one of Hollywood's most mercurial and/or misunderstood actors has been documenting his own life...","Val Kilmer, Jack Kilmer",No consensus yet.
Never Gonna Snow Again,2020,94,95060,MaÅgorzata Szumowska," On a gray, foggy morning outside a large Polish city, Zhenia (Alec Utgoff), a masseur from the East, enters the...","Alec Utgoff, Maja Ostaszewska, Agata Kulesza, Weronika Rosati",No consensus yet.
About Endlessness,2019,94,99395,Roy Andersson," ABOUT ENDLESSNESS is a reflection on human life in all its beauty and cruelty, its splendor and banality. We wander,...","Martin Serner, Jessica Louthander, Tatiana Delaunay, Anders HellstrÃ¶m",
Raya and the Last Dragon,2021,94,109671,Don Hall," Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when sinister monsters known...","Kelly Marie Tran, Awkwafina, Izaac Wang, Gemma Chan","Another gorgeously animated, skillfully voiced entry in the Disney canon,"
In the Heights,2021,94,114855,Jon M. Chu," The creator of ""Hamilton"" and the director of ""Crazy Rich Asians"" invite you to the event of the summer, where...","Anthony Ramos, Melissa Barrera, Leslie Grace, Corey Hawkins",No consensus yet.
Wildfire,2020,95,96929,Cathy Brady, Two reunited Irish sisters uncover secrets from their mother's past....,"Nika McGuigan, Nora-Jane Noone, Martin McCann, Kate Dickie","Anchored by the believable bond between its leads,"
Jimmy Carter: Rock & Roll President,2020,95,96925,Mary Wharton, Jimmy Carter becomes the first U.S. president to openly embrace rock 'n' roll....,"Jimmy Carter, Bob Dylan, Willie Nelson",No consensus yet.
Test Pattern,2021,95,96748,Shatara Michelle Ford," Young couple Renesha (Brittany S. Hall) and Evan (Will Brill) negotiate a variety of questions, judgments, and other comments on...","Brittany S. Hall, Will Brill, Gail Bean, Drew Fuller",No consensus yet.
